column,missing_ratio
Influenza_rates,0.011570247933884297
Dengue_fever_rates,0.011570247933884297
Diarrhoea_rates,0.011570247933884297
population_male,0.011570247933884297
population_female,0.011570247933884297
population_urban,0.011570247933884297
population_countryside,0.011570247933884297
Total_Evaporation,0.0
Total_Rainfall,0.0
Max_Daily_Rainfall,0.0
n_raining_days,0.0
Max_Absolute_Temperature,0.0
Min_Average_Temperature,0.0
Max_Average_Temperature,0.0
Average_temperature,0.0
n_hours_sunshine,0.0
Min_Humidity,0.0
Average_Humidity,0.0
Min_Absolute_Temperature,0.0
